,latitude,longitude,brightness
772,-31.0846,152.0127,382.4
773,-31.0862,152.0023,383.0
774,-31.0877,151.9919,337.8
775,-30.9909,152.5875,360.5
776,-30.9925,152.577,375.3
777,-30.9941,152.5664,378.6
778,-30.9957,152.5558,333.2
779,-31.0035,152.5033,348.5
780,-31.0051,152.4927,342.3
781,-31.0741,152.0214,340.0
782,-31.0757,152.011,414.2
783,-31.0772,152.0005,452.7
784,-31.0787,151.9901,441.5
785,-31.0802,151.9796,366.6
786,-30.9945,152.5014,351.8
787,-30.9961,152.4907,349.5
788,-30.9992,152.4697,323.8
789,-31.0008,152.4591,336.0
790,-31.0023,152.4487,341.2
791,-31.0039,152.4382,319.5
792,-31.0667,152.0092,370.8
793,-31.0682,151.9987,444.6
794,-31.0697,151.9883,504.7
795,-31.0712,151.9778,465.3
796,-31.0727,151.9674,409.3
797,-30.96,152.6725,341.2
798,-30.9835,152.5143,335.5
799,-30.985,152.5038,355.1
800,-30.9866,152.4931,350.1
801,-30.9881,152.4826,338.9
802,-30.9897,152.4721,351.0
803,-30.9913,152.4615,376.5
804,-30.9928,152.4511,335.3
805,-31.0569,152.0114,339.9
806,-31.0584,152.0009,379.8
807,-31.0599,151.9905,415.0
808,-31.0615,151.98,418.1
809,-31.0629,151.9696,479.7
810,-31.0644,151.9591,403.1
811,-30.9509,152.6706,361.3
812,-30.9525,152.6601,335.3
813,-30.9745,152.5125,350.1
814,-30.976,152.5019,360.4
815,-31.0479,152.0096,326.9
816,-31.0495,151.9991,395.0
817,-31.051,151.9887,400.1
818,-31.0525,151.9783,409.9
819,-31.054000000000002,151.9678,489.0
